run,top_fitness,avg_fitness
1,228,44.64
2,228,61.55
3,228,52.08
4,228,71.74
5,228,46.27
6,226,60.62
7,228,55.14
8,228,62.1
9,228,70.81
10,228,51.74
11,228,48.94
12,228,62.91
13,228,66.34
14,228,55.94
15,228,51.01
16,228,56.78
17,228,58.0
18,228,49.48
19,228,57.01
20,228,44.77
21,228,54.39
22,228,47.63
23,228,44.6
24,228,40.75
25,228,51.98
26,228,62.07
27,228,62.03
28,228,50.46
29,228,39.89
30,228,58.21
