run,top_fitness,avg_fitness
1,64,27.88
2,60,22.8
3,60,28.68
4,228,40.0
5,228,26.12
6,228,44.64
7,228,133.08
8,228,25.0
9,64,22.68
10,228,123.04
11,228,126.36
12,76,36.0
13,228,28.8
14,228,127.24
15,228,29.2
16,60,21.36
17,60,24.64
18,68,22.8
19,68,29.96
20,60,23.68
21,64,29.0
22,228,120.76
23,228,25.24
24,228,35.96
25,56,22.56
26,228,39.88
27,228,26.44
28,228,43.4
29,228,119.48
30,76,37.92
