run,top_fitness,avg_fitness
1,71,47.54
2,228,125.57
3,226,193.35
4,228,121.44
5,62,42.94
6,62,45.81
7,68,52.55
8,68,59.28
9,65,48.06
10,226,46.19
11,68,58.15
12,68,51.69
13,228,119.89
14,228,127.2
15,228,92.72
16,71,53.06
17,228,167.1
18,228,118.29
19,71,53.59
20,71,53.59
21,65,55.46
22,228,127.34
23,71,46.07
24,68,50.03
25,226,158.78
26,71,57.96
27,220,115.29
28,226,52.46
29,71,60.08
30,228,118.91
