run,top_fitness,avg_fitness
1,228,205.72
2,228,206.41
3,228,202.12
4,228,208.45
5,228,205.49
6,228,201.49
7,228,206.14
8,228,208.45
9,228,207.84
10,228,198.74
11,228,204.88
12,228,207.32
13,228,204.02
14,228,202.58
15,228,204.93
16,228,198.1
17,228,203.26
18,228,205.81
19,228,204.15
20,228,211.54
21,228,200.41
22,228,196.76
23,228,202.33
24,228,211.93
25,228,205.85
26,228,206.26
27,228,212.54
28,228,207.14
29,228,203.32
30,228,202.42
