run,top_fitness,avg_fitness
1,228,200.85
2,228,199.93
3,228,208.16
4,228,205.48
5,228,200.08
6,228,202.62
7,228,205.25
8,228,200.93
9,228,204.29
10,228,200.97
11,228,203.09
12,228,202.81
13,228,204.73
14,228,208.66
15,228,200.32
16,228,201.77
17,228,201.4
18,228,202.16
19,228,205.52
20,228,207.31
21,228,200.81
22,228,207.59
23,228,203.58
24,228,210.15
25,228,205.16
26,228,200.42
27,228,202.98
28,228,204.08
29,228,206.86
30,228,206.54
