run,top_fitness,avg_fitness
1,228,159.5
2,228,39.82
3,228,86.11
4,228,37.83
5,228,46.5
6,65,55.39
7,228,90.02
8,68,50.17
9,228,86.55
10,228,42.72
11,71,43.82
12,228,99.87
13,228,35.9
14,228,94.82
15,71,36.85
16,228,85.06
17,228,98.22
18,228,127.59
19,228,42.29
20,228,83.91
21,228,155.25
22,228,106.24
23,228,83.36
24,71,38.61
25,69,33.68
26,228,82.4
27,228,90.16
28,228,48.29
29,228,43.05
30,228,39.15
